Canadian Food,US Matches
"Dessert topping (non dairy), powdered","Whipped topping, nondairy, frozen(62.86% match #12220200); "
"Dessert topping (non dairy), powdered, prepared with whole milk",
"Dessert topping (non dairy), pressurized","Whipped topping, nondairy, pressurized can(75.61% match #12220100); Whipped topping, nondairy, frozen(63.01% match #12220200); "
"Dessert topping (non dairy), frozen, semisolid","Whipped topping, nondairy, frozen, lowfat(66.67% match #12220250); Whipped topping, nondairy, frozen, sugar free(65.93% match #12220280); "
"Milk, fluid, partly skimmed, 2% M.F.",
"Milk, fluid, partly skimmed, 1% M.F.",
"Milk, dry whole","Milk, cows, fluid, whole(66.67% match #11111000); Milk, dry, reconstituted, whole(65.22% match #11121100); "
"Milk, dry, buttermilk, sweet cream",
"Milk, condensed, sweetened, canned","Milk, condensed, sweetened (formerly NS as to dilution)(65.17% match #11220000); "
"Milk, fluid, chocolate, whole","Milk, chocolate, whole milk-based(70.97% match #11511100); Milk, goats, fluid, whole(66.67% match #11116000); Milk, dry, reconstituted, whole(66.67% match #11121100); "
"Milk, fluid, chocolate, partly skimmed, 2% M.F.","Milk, chocolate, skim milk-based(60.76% match #11511300); "
"Hot chocolate, cocoa, homemade, prepared with 2% milk","Hot chocolate, Puerto Rican style, made with whole milk(62.96% match #11512500); Hot chocolate, Puerto Rican style, made with low fat milk(61.82% match #11512510); Tomato noodle soup, canned, prepared with milk(60.61% match #74604600); "
"Milk, fluid, goat, enriched, whole","Milk, cows, fluid, lactose reduced, whole(69.33% match #11114350); Milk, dry, reconstituted, whole(64.62% match #11121100); "
"Milk, fluid, human (breast milk), mature",
"Milk, fluid, sheep, whole","Milk, cows, fluid, whole(73.47% match #11111000); Milk, goats, fluid, whole(72.0% match #11116000); Buttermilk, fluid, whole(69.39% match #11115300); "
"Milk shake, chocolate, thick","Milk, chocolate, NFS(70.83% match #11511000); Carry-out milk shake, chocolate(67.8% match #11542100); Cake, chocolate, with icing, diet(65.57% match #53105500); "
"Milk shake, vanilla, thick",Milk shake with malt(60.87% match #11541400); 
